'Elapsed time','ECG'
000.000,0.140	
000.010,0.170	
000.020,0.215	
000.030,0.245	
000.040,0.250	
000.050,0.240	
000.060,0.240	
000.070,0.255	
000.080,0.230	
000.090,0.180	
000.100,0.130	
000.110,0.090	
000.120,0.025	
000.130,0.000	
000.140,-0.005	
000.150,-0.020	
000.160,-0.025	
000.170,-0.030	
000.180,-0.005	
000.190,-0.020	
000.200,-0.020	
000.210,-0.020	
000.220,-0.025	
000.230,-0.010	
000.240,-0.010	
000.250,-0.020	
000.260,-0.035	
000.270,-0.045	
000.280,-0.045	
000.290,-0.045	
000.300,-0.040	
000.310,-0.055	
000.320,-0.075	
000.330,-0.085	
000.340,-0.075	
000.350,-0.060	
000.360,-0.085	
000.370,-0.080	
000.380,-0.100	
000.390,-0.070	
000.400,-0.085	
000.410,-0.075	
000.420,-0.085	
000.430,-0.080	
000.440,-0.090	
000.450,-0.085	
000.460,-0.105	
000.470,-0.080	
000.480,-0.080	
000.490,-0.010	
000.500,0.020	
000.510,0.025	
000.520,0.105	
000.530,0.165	
000.540,0.115	
000.550,0.020	
000.560,-0.035	
000.570,-0.035	
000.580,-0.165	
000.590,-0.190	
000.600,-0.210	
000.610,-0.190	
000.620,-0.220	
000.630,-0.190	
000.640,0.195	
000.650,1.070	
000.660,1.700	
000.670,0.340	
000.680,-0.575	
000.690,-0.715	
000.700,-0.475	
000.710,-0.200	
000.720,-0.180	
000.730,-0.165	
000.740,-0.180	
000.750,-0.145	
000.760,-0.125	
000.770,-0.125	
000.780,-0.115	
000.790,-0.095	
000.800,-0.085	
000.810,-0.050	
000.820,-0.030	
000.830,-0.010	
000.840,0.005	
000.850,0.065	
000.860,0.090	
000.870,0.130	
000.880,0.175	
000.890,0.235	
000.900,0.230	
000.910,0.255	
000.920,0.265	
000.930,0.290	
000.940,0.255	
000.950,0.245	
000.960,0.200	
000.970,0.150	
000.980,0.085	
000.990,0.040	
001.000,0.025	
001.010,-0.010	
001.020,-0.010	
001.030,-0.035	
001.040,-0.030	
001.050,-0.020	
001.060,-0.020	
001.070,-0.015	
001.080,-0.020	
001.090,-0.015	
001.100,-0.025	
001.110,-0.020	
001.120,-0.020	
001.130,-0.020	
001.140,-0.045	
001.150,-0.055	
001.160,-0.050	
001.170,-0.080	
001.180,-0.060	
001.190,-0.055	
001.200,-0.060	
001.210,-0.095	
001.220,-0.095	
001.230,-0.075	
001.240,-0.075	
001.250,-0.070	
001.260,-0.075	
001.270,-0.065	
001.280,-0.050	
001.290,-0.085	
001.300,-0.095	
001.310,-0.080	
